location,forecast_date,target_end_date,target,quantile,value,type
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.0100,0,quantile
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.9900,19,quantile
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.5000,0,quantile
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.4500,0,quantile
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.5500,0,quantile
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.4000,0,quantile
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.6000,0,quantile
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.3500,0,quantile
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.6500,0,quantile
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.3000,0,quantile
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.7000,1,quantile
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.2500,0,quantile
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.7500,1,quantile
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.2000,0,quantile
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.8000,2,quantile
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.1500,0,quantile
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.8500,2,quantile
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.1000,0,quantile
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.9000,4,quantile
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.0500,0,quantile
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.9500,7,quantile
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.0250,0,quantile
BG,2024-06-03,2024-06-08,1 wk ahead inc death,0.9750,12,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.0100,0,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.9900,18,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.5000,0,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.4500,0,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.5500,0,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.4000,0,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.6000,0,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.3500,0,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.6500,0,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.3000,0,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.7000,1,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.2500,0,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.7500,1,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.2000,0,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.8000,2,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.1500,0,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.8500,3,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.1000,0,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.9000,5,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.0500,0,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.9500,7,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.0250,0,quantile
BG,2024-06-03,2024-06-15,2 wk ahead inc death,0.9750,13,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.0100,0,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.9900,16,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.5000,0,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.4500,0,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.5500,0,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.4000,0,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.6000,0,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.3500,0,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.6500,0,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.3000,0,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.7000,1,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.2500,0,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.7500,1,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.2000,0,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.8000,2,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.1500,0,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.8500,3,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.1000,0,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.9000,4,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.0500,0,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.9500,8,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.0250,0,quantile
BG,2024-06-03,2024-06-22,3 wk ahead inc death,0.9750,10,quantile
BG,2024-06-03,2024-06-29,4 wk ahead inc death,0.0100,0,quantile
BG,2024-06-03,2024-06-29,4 wk ahead inc death,0.9900,17,quantile
BG,2024-06-03,2024-06-29,4 wk ahead inc death,0.5000,0,quantile
BG,2024-06-03,2024-06-29,4 wk ahead inc death,0.4500,0,quantile
BG,2024-06-03,2024-06-29,4 wk ahead inc death,0.5500,0,quantile
BG,2024-06-03,2024-06-29,4 wk ahead inc death,0.4000,0,quantile
BG,2024-06-03,2024-06-29,4 wk ahead inc death,0.6000,0,quantile
